"LookupType","LookupCode","Meaning","Description","Tag","LegislationCode"
"HRT_HIGHEST_EDUCATION_LEVEL","840","PhD aviation",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","824","PhD commerce and business administration",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","832","PhD computer science",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","11_DC","PhD degree completed",,"+BR",
"HRT_HIGHEST_EDUCATION_LEVEL","816","PhD dental medicine",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","826","PhD economics",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","802","PhD education",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","844","PhD electronics engineering",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","808","PhD engineering",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","830","PhD law",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","814","PhD medicine",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","836","PhD military sciences",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","806","PhD natural sciences",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","820","PhD pharmaceutical sciences",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","822","PhD physiotherapy",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","842","PhD police sciences",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","828","PhD political sciences",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","818","PhD veterinary medicine",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","458","Post, telegraph, or telephony institutes",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","SA_7","Postgraduate",,"+SA",
"HRT_HIGHEST_EDUCATION_LEVEL","SA_2","Preliminary education",,"+SA",
"HRT_HIGHEST_EDUCATION_LEVEL","252","Preparatory school degree",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","299","Preparatory school degree - undefined",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","MX_1","Primary",,"+MX",
"HRT_HIGHEST_EDUCATION_LEVEL","199","Primary school - undefined",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","150","Primary school certificate",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","80","Primary school education",,"+CN",
"HRT_HIGHEST_EDUCATION_LEVEL","98","Reads and writes",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","60","Regular high school education",,"+CN",
"HRT_HIGHEST_EDUCATION_LEVEL","254","Religious preparatory school",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","154","Religious primary school",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","204","Second-year intermediate school",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","102","Second-year primary school",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","304","Second-year secondary school",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","MX_2","Secondary",,"+MX",
"HRT_HIGHEST_EDUCATION_LEVEL","399","Secondary degree - undefined",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","SA_4","Secondary education",,"+SA",
"HRT_HIGHEST_EDUCATION_LEVEL","362","Secondary school - agriculture",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","354","Secondary school - arts section",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","356","Secondary school - religion",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","352","Secondary school - science section",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","70","Secondary school education",,"+CN",
"HRT_HIGHEST_EDUCATION_LEVEL","40","Secondary vocational education",,"+CN",
"HRT_HIGHEST_EDUCATION_LEVEL","454","Secretarial and commerce institute",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","FR_6","Short-term training -up to one year",,"+FR",
"HRT_HIGHEST_EDUCATION_LEVEL","4","Sixth to ninth year fundamental grade not completed",,"+BE, +IT",
"HRT_HIGHEST_EDUCATION_LEVEL","106","Sixth-year primary school",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","456","Social service institute",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","JP_81","Special training school",,"+JP",
"HRT_HIGHEST_EDUCATION_LEVEL","30","Specialized college education",,"+CN",
"HRT_HIGHEST_EDUCATION_LEVEL","CH_TC","Teacher certificate",,"+CH, +JP",
"HRT_HIGHEST_EDUCATION_LEVEL","452","Teachers institute",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","JP_25","Technical college five years",,"+JP",
"HRT_HIGHEST_EDUCATION_LEVEL","499","Technical diploma",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","462","Technical or industrial institute",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","206","Third-year intermediate school",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","103","Third-year primary school",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","306","Third-year secondary school",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","JP_10","University",,"+JP",
"HRT_HIGHEST_EDUCATION_LEVEL","CH_UB","University bachelor degree",,"+CH, +BR, +AE, +KW, +CH",
"HRT_HIGHEST_EDUCATION_LEVEL","09_SC","University completed",,"+BR",
"HRT_HIGHEST_EDUCATION_LEVEL","500","University degree",,"+AE,+KW,+CH",
"HRT_HIGHEST_EDUCATION_LEVEL","599","University degree - undefined",,"+AE, +KW",
"HRT_HIGHEST_EDUCATION_LEVEL","20","University education",,"+CN,+SA",
"HRT_HIGHEST_EDUCATION_LEVEL","CH_UEC","University entrance certificate",,"+CH",
"HRT_HIGHEST_EDUCATION_LEVEL","8","University not completed",,"+BR",
"HRT_HIGHEST_EDUCATION_LEVEL","CH_VEC","Vocational education completed",,"+CH",
"HRT_IMPORTANCE","LOW","Low",,,
"HRT_IMPORTANCE","BAV","Below average",,,
"HRT_IMPORTANCE","AVE","Average",,,
"HRT_IMPORTANCE","AAV","Above average",,,
"HRT_IMPORTANCE","HIH","High",,,
"HRT_INST_QUAL_TYPE","P","Use prompt record",,,
"HRT_INST_QUAL_TYPE","Q","Create qualifier set",,,
"HRT_INTEREST_TYPE","COMPETENCY","Competency",,,
"HRT_INTEREST_TYPE","PROFILE","Profile",,,
"HRT_MATCH_CONDITION","2","Less than",,,
"HRT_MATCH_CONDITION","1","Less than or equal to",,,
"HRT_MATCH_CONDITION","0","Equal to",,,
"HRT_MATCH_CONDITION","3","Greater than or equal to",,,
"HRT_MATCH_CONDITION","4","Greater than",,,
"HRT_MATCH_IMPORTANCE","0","None","Option to view the best fit job or profile with no priority defined for a content type.",,
"HRT_MATCH_IMPORTANCE","1","Low","Low priority.",,
"HRT_MATCH_IMPORTANCE","2","Medium","Medium priority.",,
"HRT_MATCH_IMPORTANCE","3","High","High priority.",,
"HRT_MATCH_IMPORTANCE","4","Important","Important priority.",,
"HRT_MATCH_IMPORTANCE","5","Very Important","Very important priority.",,
"HRT_MATCH_ORDER","LOW","Lowest matches",,,
"HRT_MATCH_ORDER","HIGH","Highest matches",,,
"HRT_MATCH_PERCENT","10","10 percent",,,
"HRT_MATCH_PERCENT","20","20 percent",,,
"HRT_MATCH_PERCENT","30","30 percent",,,
"HRT_MATCH_PERCENT","40","40 percent",,,
"HRT_MATCH_PERCENT","50","50 percent",,,
"HRT_MATCH_PERCENT","60","60 percent",,,
"HRT_MATCH_PERCENT","70","70 percent",,,
"HRT_MATCH_PERCENT","80","80 percent",,,
"HRT_MATCH_PERCENT","90","90 percent",,,
"HRT_MATCH_PERCENT","100","100 percent",,,
"HRT_NOTES_DATE","HRT_ALL","All","All Dates",,
"HRT_NOTES_DATE","HRT_TODAY","Today","Today Date",,
"HRT_NOTES_DATE","HRT_SINCE_YESTERDAY","Since Yesterday","Since Yesterday Time",,
"HRT_NOTES_DATE","HRT_LAST_7_DAYS","Last 7 Days","Last 7 Days Time",,
"HRT_NOTES_DATE","HRT_LAST_30_DAYS","Last 30 Days","Last 30 Days Time",,
"HRT_NOTES_TYPE","HRT_EXTERNAL","External","External Type Note",,
"HRT_NOTES_TYPE","HRT_GENERAL","General","General Type Note",,
"HRT_NOTES_TYPE","HRT_INTERNAL","Internal","Internal Type Note",,
"HRT_PAY_FREQUENCY","D","Daily",,,
"HRT_PAY_FREQUENCY","W","Weekly",,,
"HRT_PAY_FREQUENCY","BW","Bi-weekly",,,
"HRT_PAY_FREQUENCY","M","Monthly",,,
"HRT_PAY_FREQUENCY","Y","Yearly",,,
"HRT_POOL_ASSOC_TYPE","DEVGOAL","Development Goal",,,
"HRT_POOL_MEMBER_TYPE","CANDIDATE","Candidate",,,
"HRT_POOL_MEMBER_TYPE","HRPERSON","Person",,,
"HRT_POOL_TYPE_CODE","CANDIDATE","Candidate",,,
"HRT_POOL_TYPE_CODE","SEARCH_CRITERIA_CANDIDATE","Search Criteria Candidate Pool",,,
"HRT_POOL_TYPE_CODE","TALENT","Talent",,,
"HRT_POOL_TYPE_CODE","TC_CANDIDATE","Talent Community Candidate",,,
"HRT_PROFILE_USAGE_CODE","M","Model",,,
"HRT_PROFILE_USAGE_CODE","P","Person",,,
"HRT_PROFILE_USAGE_CODE","C","Candidate",,,
"HRT_PROFILE_USAGE_CODE","S","Submission",,,
"HRT_PROFILE_USAGE_CODE","R","Requisition",,,
"HRT_PROP_SOURCE","C","Content library",,,
"HRT_PROP_SOURCE","P","Profile",,,
"HRT_RDIST_OBJ_TYPE","PERFTEMPLATE","Performance template",,,
"HRT_READINESS","RA","Ready now",,,
"HRT_READINESS","RB","1 to 2 years",,,
"HRT_READINESS","RC","3 to 5 years",,,
"HRT_RELATION_TYPE","ASSC","Profile association",,,
"HRT_RELATION_TYPE","PIDO","Profile identity option",,,
"HRT_RISK_REASON","CE","Back to school, continuing education",,,
"HRT_RISK_REASON","ER","Expected retirement",,,
"HRT_RISK_REASON","FE","Family event",,,
"HRT_RISK_REASON","LV","Leaving voluntarily",,,
"HRT_RISK_REASON","LD","Likely demotion",,,
"HRT_RISK_REASON","LP","Likely promotion",,,
"HRT_RISK_REASON","LT","Likely transfer",,,
"HRT_RISK_REASON","ML","Maternity leave",,,
"HRT_RISK_REASON","PL","Paternity leave",,,
"HRT_RISK_REASON","PR","Planned retirement",,,
"HRT_RISK_REASON","RC","Relocation change",,,
"HRT_RISK_REASON","VE","Visa expiration",,,
"HRT_RISK_REASON","VA","Voluntary attrition",,,
"HRT_ROLE_CODE","EMP","Employee",,,
"HRT_ROLE_CODE","MGR","Line manager",,,
"HRT_ROLE_CODE","HR","HR specialist",,,
"HRT_ROLE_CODE","ORA_MATRIX_MGR","Matrix manager","A manager other than the worker's line manager.",,
"HRT_SATISFACTION_METHOD","D","Dispensation Given",,,
"HRT_SATISFACTION_METHOD","F","Off the Job Training",,,
"HRT_SATISFACTION_METHOD","L","Has license or certificate",,,
"HRT_SATISFACTION_METHOD","O","On the Job Training",,,
"HRT_SATISFACTION_METHOD","R","Recognition of Prior Learning",,,
"HRT_SATISFACTION_METHOD","S","Supervisor Assessment",,,
"HRT_SATISFACTION_METHOD","T","Attend Training Course",,,
"HRT_SECTION_PROP_DISPLAY_CODE","S","Summary",,,
"HRT_SECTION_PROP_DISPLAY_CODE","D","Detail",,,
"HRT_SECTION_PROP_DISPLAY_CODE","B","Both",,,
"HRT_SECTION_PROP_DISPLAY_CODE","N","None",,,
"HRT_SUBCOMPETENCY_LEVEL","A","Advanced",,,
"HRT_SUBCOMPETENCY_LEVEL","B","Basic",,,
"HRT_SUBCOMPETENCY_LEVEL","I","Intermediate",,,
"HRT_SUBSCRIPTION_PAY_METHODS","PERSONAL","Personal","The payment for the professional membership subscription is made by the personal deduction method.",,
"HRT_SUBSCRIPTION_PAY_METHODS","PAYROLL","Payroll","The payment for the professional membership subscription is made by the payroll deduction method.",,
"HRT_SUGGESTION_ASSOC_TYPE","RATINGLEVEL","Rating","Suggestion is associated to a rating",,
"HRT_SUGGESTION_ASSOC_TYPE","CONTENTITEM","Content","Suggestion is associated to a content item",,
"HRT_SUGGESTION_SOURCE","APPLICATION","System generated","The source of suggestion is system.",,
"HRT_SUGGESTION_SOURCE","USER","User","User defined suggestion",,
"HRT_SUGGESTION_SOURCE","WORKER","Worker comments","The source of suggestion is comments entered by a worker for a competency.",,
"HRT_SUGGESTION_TYPE","DEVTIP","Development Tip","Tip for development",,
"HRT_SUGGESTION_TYPE","FEEDBACK","Feedback Suggestion","Suggestion for feedback",,
"HRT_SUMMARY_TEXT","AREA_OF_EXPERTISE","Areas of Expertise","Displayed for Areas of Expertise region on Experience and Qualifications card.",,
"HRT_SUMMARY_TEXT","CAREER_PLANNING","Career Planning","Displayed as summary text on Career Planning card.",,
"HRT_SUMMARY_TEXT","CAREER_STATEMENT","Career Statement","Displayed for Career Statement region on Career Planning card.",,
"HRT_SUMMARY_TEXT","SYS_SUGGESTION","Career Suggestions","Displayed for Careers of Interest region on Career Planning card.",,
"HRT_SUMMARY_TEXT","COMPETENCY_GAP","Competency Gaps","Displayed for Competency Gaps region on Development and Growth card.",,
"HRT_SUMMARY_TEXT","DEV_GOAL","Development Goals","Displayed for Development Goals region on Development and Growth Card",,
"HRT_SUMMARY_TEXT","DEV_GROWTH","Development and Growth","Displayed as summary text on Development and Growth card.",,
"HRT_SUMMARY_TEXT","EXP_AND_QUAL","Experience and Qualifications","Displayed as summary text on Experience and Qualifications card.",,
"HRT_SUMMARY_TEXT","INTEREST_LIST","Interest List","Displayed for Interest List region on Career Planning card.",,
"HRT_SUMMARY_TEXT","PERF_GOAL","Performance Goals","Displayed for Performance Goals region on Development and Growth card.",,
"HRT_SUMMARY_TEXT","PERF_EVALUATION","Performance History","Displayed for Performance Evaluations region on Experience and Qualifications card.",,
"HRT_SUMMARY_TEXT","SKILLS_AND_QUAL","Skills and Qualifications","Displayed for Skills and Qualifications region on Experience and Qualifications card.",,
"HRT_SUMMARY_TEXT","WORK_REQ","Work Requirements","Displayed for Work Requirements region on Experience and Qualifications card.",,
"HRT_SUMMARY_TEXT","EXPQUAL_PROFILE_REGION","Summary for Experience and Qualifications Custom Profile","Displayed as summary text for custom profile region on Experience and Qualifications card.",,
"HRT_SUMMARY_TEXT","CARPLN_PROFILE_REGION","Summary for Career Planning Custom Profile","Displayed as summary text for custom profile region on Career Planning card.",,
"HRT_SUMMARY_TEXT","DEVGROW_PROFILE_REGION","Summary for Development and Growth Custom Profile","Displayed as summary text for custom profile region on Development and Growth card.",,
"HRT_TASK_PRIORITY","1","Very High","Very High Priority",,
"HRT_TASK_PRIORITY","2","High","High Priority",,
"HRT_TASK_PRIORITY","3","Medium","Medium Priority",,
"HRT_TASK_PRIORITY","4","Low","Low Priority",,
"HRT_TASK_PRIORITY","5","Very Low","Very Low Priority",,
"HRT_TASK_STATUS","ASSIGNED","Assigned","Task is assigned",,
"HRT_TASK_STATUS","COMPLETED","Completed","Task is completed",,
"HRT_TASK_TYPE","ADMIN","Administration","Administration Task",,
"HRT_TASK_TYPE","EVENT","Event","Event Task",,
"HRT_TASK_TYPE","FYI","FYI","FYI Task",,
"HRT_TASK_TYPE","INFORMATION_NEEDED","Information needed","Information needed Task",,
"HRT_TASK_TYPE","INTERNAL","Internal","Internal Task",,
"HRT_TASK_TYPE","MEETING","Meeting","Meeting Task",,
"HRT_TASK_TYPE","MILESTONE","Milestone","Milestone Task",,
"HRT_TASK_TYPE","PREPARATION","Preparation","Preparation Task",,
"HRT_TASK_TYPE","PRESENTATION","Presentation","Presentation Task",,
"HRT_TASK_TYPE","RESEARCH","Research","Research Task",,
"HRT_TASK_TYPE","TODO","To do","To do Task",,
"HRT_TASK_TYPE","TRAINING","Training","Training Task",,
"HRT_TRAVEL_FREQUENCY","25PCT","25%",,,
"HRT_TRAVEL_FREQUENCY","50PCT","50%",,,
"HRT_TRAVEL_FREQUENCY","75PCT","75%",,,
"HRT_TRAVEL_FREQUENCY","100PCT","100%",,,
"HRT_USE_IN_CODE","C","Content library",,,
"HRT_USE_IN_CODE","P","Profile setup",,,
"HRT_USE_IN_CODE","B","Both","Both profile setup and content library.",,
"HRT_USE_IN_CODE","Q","Qualification",,,
"HRT_VALIDITY_PERIOD","D","Days",,,
"HRT_VALIDITY_PERIOD","H","Hours",,,
"HRT_VALIDITY_PERIOD","M","Months",,,
"HRT_VALIDITY_PERIOD","Y","Years",,,
"HRT_WORK_DAYS","MTF","Monday to Friday",,,
"HRT_WORK_DAYS","MTS","Monday to Saturday",,,
"HRT_WORK_DAYS","MWF","Monday, Wednesday, Friday",,,
"HRT_WORK_HOURS","WH1","8am to 5pm",,,
"HRT_WORK_HOURS","WH2","9am to 6pm",,,
"HRT_WORK_HOURS","WH3","8am to 12pm",,,
"HRX_AE_ALLOWANCE_USAGE","A","Amount",,,
"HRX_AE_ALLOWANCE_USAGE","P","Percent",,,
"HRX_AE_EARN_CALC_RULE","CSAT","Children's social allowance",,,
"HRX_AE_EARN_CALC_RULE","CLAT","Cost of living allowance",,,
"HRX_AE_EARN_CALC_RULE","FAT","Flat amount",,,
"HRX_AE_EARN_CALC_RULE","GAT","Grade allowance",,,
"HRX_AE_EARN_CALC_RULE","HST","Hourly rate",,,
"HRX_AE_EARN_CALC_RULE","HAT","Housing allowance",,,
"HRX_AE_EARN_CALC_RULE","OAT","Overtime allowance",,,
"HRX_AE_EARN_CALC_RULE","PBST","Percentage of basic salary",,,
"HRX_AE_EARN_CALC_RULE","SAT","Shift allowance",,,
"HRX_AE_EARN_CALC_RULE","SCAT","Social allowance",,,
"HRX_AE_EARN_CALC_RULE","TAT","Transportation allowance",,,
"HRX_AE_EMPLOYER_SECTOR","F","Government sector",,,
"HRX_AE_EMPLOYER_SECTOR","P","Private sector",,,
"HRX_AE_EMPLOYER_SECTOR","M","Military sector",,,
"HRX_AE_EMPLOYMENT_STATUS","BACHELOR_STATUS","Bachelor",,,
"HRX_AE_EMPLOYMENT_STATUS","FAMILY_STATUS","Family",,,
"HRX_AE_ESTABLISHMENTS","7","Airlines",,,
"HRX_AE_ESTABLISHMENTS","3","Federal government",,,
"HRX_AE_ESTABLISHMENTS","6","Free zone",,,
"HRX_AE_ESTABLISHMENTS","2","Government",,,
"HRX_AE_ESTABLISHMENTS","4","Other",,,
"HRX_AE_ESTABLISHMENTS","1","Private",,,
"HRX_AE_ESTABLISHMENTS","8","Property",,,
"HRX_AE_ESTABLISHMENTS","5","Ships",,,
"HRX_AE_GRATUITY_BASIS","A","Actual",,,
"HRX_AE_GRATUITY_BASIS","F","Fixed",,,
"HRX_AE_OCCUPATIONS","3124051","Accommodation officer-Obsolete",,,
"HRX_AE_OCCUPATIONS","1622081","Account superintendent-Obsolete",,,
"HRX_AE_OCCUPATIONS","1622011","Accountant - general-Obsolete",,,
"HRX_AE_OCCUPATIONS","1622012","Accountant-Obsolete",,,
"HRX_AE_OCCUPATIONS","1622301","Accountants chief-Obsolete",,,
"HRX_AE_OCCUPATIONS","1622051","Accounting assistant-Obsolete",,,
"HRX_AE_OCCUPATIONS","2621012","Accounting clerk - general-Obsolete",,,
"HRX_AE_OCCUPATIONS","1622005","Accounting executive-Obsolete",,,
"HRX_AE_OCCUPATIONS","213051","Accounting manager-Obsolete",,,
"HRX_AE_OCCUPATIONS","1622061","Accounts officer-Obsolete",,,
"HRX_AE_OCCUPATIONS","1622071","Accounts supervisor-Obsolete",,,
"HRX_AE_OCCUPATIONS","1421441","Acting arts professor-Obsolete",,,
"HRX_AE_OCCUPATIONS","1433056","Acting head legal affairs section-Obsolete",,,
"HRX_AE_OCCUPATIONS","111004","Acting minister assistant-Obsolete",,,
"HRX_AE_OCCUPATIONS","1523051","Actor-Obsolete",,,
"HRX_AE_OCCUPATIONS","1131031","Actuarial statistician-Obsolete",,,
"HRX_AE_OCCUPATIONS","1433521","Administration adviser-Obsolete",,,
"HRX_AE_OCCUPATIONS","9100042","Administration attache-Obsolete",,,
"HRX_AE_OCCUPATIONS","2631032","Administration council secretary-Obsolete",,,
"HRX_AE_OCCUPATIONS","111041","Administration manager-Obsolete",,,
"HRX_AE_OCCUPATIONS","7410059","Administration worker-Obsolete",,,
"HRX_AE_OCCUPATIONS","3001024","Administrative assistant-Obsolete",,,
"HRX_AE_OCCUPATIONS","5140041","Administrative coordinator-Obsolete",,,
"HRX_AE_OCCUPATIONS","111025","Administrative director-Obsolete",,,
"HRX_AE_OCCUPATIONS","3001025","Administrative in charge-Obsolete",,,
"HRX_AE_OCCUPATIONS","3001023","Administrative inspector-Obsolete",,,
"HRX_AE_OCCUPATIONS","3001092","Administrative officer-Obsolete",,,
"HRX_AE_OCCUPATIONS","2423015","Administrative skills trainer-Obsolete",,,
"HRX_AE_OCCUPATIONS","3001095","Administrative superintendent-Obsolete",,,
"HRX_AE_OCCUPATIONS","3001021","Administrative supervisor assistant-Obsolete",,,
"HRX_AE_OCCUPATIONS","3001022","Administrative supervisor-Obsolete",,,
"HRX_AE_OCCUPATIONS","3001121","Administrative training superintendent-Obsolete",,,
"HRX_AE_OCCUPATIONS","3000081","Administrator - expert-Obsolete",,,
"HRX_AE_OCCUPATIONS","3000001","Administrator - general-Obsolete",,,
"HRX_AE_OCCUPATIONS","2412012","Adolescents care technician-Obsolete",,,
"HRX_AE_OCCUPATIONS","4112025","Advertising designer-Obsolete",,,
"HRX_AE_OCCUPATIONS","1514111","Advertising editor-Obsolete",,,
"HRX_AE_OCCUPATIONS","213035","Advertising manager-Obsolete",,,
"HRX_AE_OCCUPATIONS","4112027","Advertising representative-Obsolete",,,
"HRX_AE_OCCUPATIONS","4112061","Advertising supervisor-Obsolete",,,
"HRX_AE_OCCUPATIONS","8532059","Aerial rigger leader-Obsolete",,,
"HRX_AE_OCCUPATIONS","8211069","Aerial rigger technician-Obsolete",,,
"HRX_AE_OCCUPATIONS","6111164","Agricultural controller-Obsolete",,,
"HRX_AE_OCCUPATIONS","2220001","Agricultural expert-Obsolete",,,
"HRX_AE_OCCUPATIONS","1215131","Agricultural machinery engineer-Obsolete",,,
"HRX_AE_OCCUPATIONS","4342075","Agricultural machinery sales-Obsolete",,,
"HRX_AE_OCCUPATIONS","1421201","Agricultural sciences professor-Obsolete",,,
"HRX_AE_OCCUPATIONS","6111144","Agricultural superintendent-Obsolete",,,
"HRX_AE_OCCUPATIONS","6111134","Agricultural supervisor-Obsolete",,,
"HRX_AE_OCCUPATIONS","8157024","Agricultural tractor mechanic-Obsolete",,,
"HRX_AE_OCCUPATIONS","8514045","Agricultural vehicle assembler-Obsolete",,,
"HRX_AE_OCCUPATIONS","8157045","Agricultural vehicles mechanic - assistant-Obsolete",,,
"HRX_AE_OCCUPATIONS","8157013","Agricultural vehicles mechanic - general-Obsolete",,,
"HRX_AE_OCCUPATIONS","112071","Agriculture and irrigation affairs director-Obsolete",,,
"HRX_AE_OCCUPATIONS","1221051","Agriculture engineer-Obsolete",,,
"HRX_AE_OCCUPATIONS","4342013","Agriculture equipment sales-Obsolete",,,
"HRX_AE_OCCUPATIONS","1233041","Agriculture pilot-Obsolete",,,
"HRX_AE_OCCUPATIONS","6111124","Agriculture worker-Obsolete",,,
"HRX_AE_OCCUPATIONS","2215132","Air condition, refrigeration installation tech-Obsolete",,,
"HRX_AE_OCCUPATIONS","2215142","Air condition, refrigeration maintenance tech-Obsolete",,,
"HRX_AE_OCCUPATIONS","8132065","Air conditioner welder-Obsolete",,,
"HRX_AE_OCCUPATIONS","8131055","Air conditioning mechanic - assistant-Obsolete",,,
"HRX_AE_OCCUPATIONS","8131025","Air conditioning mechanic-Obsolete",,,
"HRX_AE_OCCUPATIONS","4322044","Air conditioning supplies sales-Obsolete",,,
"HRX_AE_OCCUPATIONS","221532","Air conditioning technician-Obsolete",,,
"HRX_AE_OCCUPATIONS","8131075","Air conditioning workshop in charge-Obsolete",,,
"HRX_AE_OCCUPATIONS","8152055","Air control valves mechanic-Obsolete",,,
"HRX_AE_OCCUPATIONS","4122033","Air freight agent-Obsolete",,,
"HRX_AE_OCCUPATIONS","1421221","Air navigation professor-Obsolete",,,
"HRX_AE_OCCUPATIONS","1212141","Air survey engineer-Obsolete",,,
"HRX_AE_OCCUPATIONS","2231012","Air traffic controller-Obsolete",,,
"HRX_AE_OCCUPATIONS","122101","Air transport director-Obsolete",,,
"HRX_AE_OCCUPATIONS","1231011","Air transport pilot-Obsolete",,,
"HRX_AE_OCCUPATIONS","8154063","Aircraft body mechanic-Obsolete",,,
"HRX_AE_OCCUPATIONS","8214103","Aircraft electrician - general-Obsolete",,,
"HRX_AE_OCCUPATIONS","8214114","Aircraft electrician-Obsolete",,,
"HRX_AE_OCCUPATIONS","1215113","Aircraft engineer-Obsolete",,,
"HRX_AE_OCCUPATIONS","1231101","Aircraft engineering training superintendent-Obsolete",,,
"HRX_AE_OCCUPATIONS","8154043","Aircraft field service mechanic-Obsolete",,,
"HRX_AE_OCCUPATIONS","8154201","Aircraft fuel assistant-Obsolete",,,
"HRX_AE_OCCUPATIONS","8154073","Aircraft maintenance mechanic-Obsolete",,,
"HRX_AE_OCCUPATIONS","3133104","Aircraft radio officer-Obsolete",,,
"HRX_AE_OCCUPATIONS","1231111","Aircraft technician training superintendent-Obsolete",,,
"HRX_AE_OCCUPATIONS","8154075","Aircraft technician-Obsolete",,,
"HRX_AE_OCCUPATIONS","8154035","Aircraft turbine engine mechanic assistant-Obsolete",,,
"HRX_AE_OCCUPATIONS","8154024","Aircraft turbine engine mechanic-Obsolete",,,
"HRX_AE_OCCUPATIONS","213161","Airlines manager-Obsolete",,,
"HRX_AE_OCCUPATIONS","1214081","Airplanes radio and radar engineer-Obsolete",,,
"HRX_AE_OCCUPATIONS","2231022","Airplanes take-off controller-Obsolete",,,
"HRX_AE_OCCUPATIONS","122031","Airport director-Obsolete",,,
"HRX_AE_OCCUPATIONS","8141014","All vehicles driver-Obsolete",,,
"HRX_AE_OCCUPATIONS","8115047","Aluminum assembly worker-Obsolete",,,
"HRX_AE_OCCUPATIONS","8115035","Aluminum doors maker-Obsolete",,,
"HRX_AE_OCCUPATIONS","8115045","Aluminum fitter-Obsolete",,,
"HRX_AE_OCCUPATIONS","7212085","Aluminum furnace man-Obsolete",,,
"HRX_AE_OCCUPATIONS","8115055","Aluminum technician-Obsolete",,,
"HRX_AE_OCCUPATIONS","9100011","Ambassador-Obsolete",,,
"HRX_AE_OCCUPATIONS","2312072","Ambulance attendant-Obsolete",,,
"HRX_AE_OCCUPATIONS","2312091","Ambulance officer controller assistant-Obsolete",,,
"HRX_AE_OCCUPATIONS","2312090","Ambulance officer controller-Obsolete",,,
"HRX_AE_OCCUPATIONS","2312076","Ambulance staff-Obsolete",,,
"HRX_AE_OCCUPATIONS","2312082","Ambulance trainer-Obsolete",,,
"HRX_AE_OCCUPATIONS","9250051","Analysis expert-Obsolete",,,
"HRX_AE_OCCUPATIONS","1133015","Analyst or programmer-Obsolete",,,
"HRX_AE_OCCUPATIONS","2311102","Anesthesia technician-Obsolete",,,
"HRX_AE_OCCUPATIONS","1301171","Anesthetist-Obsolete",,,
"HRX_AE_OCCUPATIONS","7331028","Animal butcher-Obsolete",,,
"HRX_AE_OCCUPATIONS","1121021","Animal crossbreeding genetic specialist-Obsolete",,,
"HRX_AE_OCCUPATIONS","2121022","Animal feeding research technician-Obsolete",,,
"HRX_AE_OCCUPATIONS","1223011","Animal resources specialist-Obsolete",,,
